縣市,鄉鎮市區,村里,所得平均數_萬元,所得中位數_萬元,目標年齡層佔比_百分比,附近核心商場/商圈,latitude,longitude
台北市,北投區,第1里,274.6,224.7,34.6,台北市北投區核心商圈,25.0745,121.5975
新北市,貢寮區,第1里,168.7,122.0,34.0,新北市貢寮區核心商圈,24.9842,121.5114
基隆市,信義區,第1里,105.1,82.0,25.2,基隆市信義區核心商圈,25.0685,121.6727
桃園市,楊梅區,第1里,186.3,143.6,34.0,桃園市楊梅區核心商圈,24.9869,121.2259
新竹市,北區,第1里,246.7,199.4,35.4,新竹市北區核心商圈,24.8302,121.0535
新竹縣,芎林鄉,第1里,150.3,112.3,28.9,新竹縣芎林鄉核心商圈,24.8719,120.9703
苗栗縣,後龍鎮,第1里,89.6,64.2,28.5,苗栗縣後龍鎮核心商圈,24.6271,120.8792
台中市,神岡區,第1里,136.7,106.5,27.4,台中市神岡區核心商圈,24.2012,120.5748
彰化縣,線西鄉,第1里,87.2,63.2,23.3,彰化縣線西鄉核心商圈,24.0087,120.5781
南投縣,信義鄉,第1里,114.8,82.6,28.3,南投縣信義鄉核心商圈,23.9267,120.7265
雲林縣,臺西鄉,第1里,108.0,81.4,25.7,雲林縣臺西鄉核心商圈,23.6461,120.4735
嘉義市,西區,第1里,102.2,77.6,27.6,嘉義市西區核心商圈,23.5287,120.4597
嘉義縣,番路鄉,第1里,106.0,82.4,22.9,嘉義縣番路鄉核心商圈,23.4756,120.245
台南市,柳營區,第1里,118.1,86.1,31.0,台南市柳營區核心商圈,22.9773,120.2397
高雄市,鹽埕區,第1里,108.1,82.1,30.0,高雄市鹽埕區核心商圈,22.7145,120.2427
屏東縣,新園鄉,第1里,107.4,77.5,24.6,屏東縣新園鄉核心商圈,22.7247,120.5307
宜蘭縣,南澳鄉,第1里,83.8,60.3,25.0,宜蘭縣南澳鄉核心商圈,24.7692,121.7828
花蓮縣,秀林鄉,第1里,97.7,70.9,24.9,花蓮縣秀林鄉核心商圈,24.0258,121.5908
台東縣,蘭嶼鄉,第1里,102.6,78.3,26.9,台東縣蘭嶼鄉核心商圈,22.7885,121.169
澎湖縣,白沙鄉,第1里,105.7,75.2,27.7,澎湖縣白沙鄉核心商圈,23.4994,119.5462
金門縣,烈嶼鄉,第1里,105.8,80.8,23.8,金門縣烈嶼鄉核心商圈,24.4704,118.3619
連江縣,南竿鄉,第1里,95.9,70.8,24.0,連江縣南竿鄉核心商圈,26.0972,120.0086
台北市,文山區,第2里,208.6,157.8,30.8,台北市文山區核心商圈,25.0576,121.492
新北市,鶯歌區,第2里,165.4,127.9,32.6,新北市鶯歌區核心商圈,24.938,121.5223
基隆市,安樂區,第2里,94.9,68.3,28.8,基隆市安樂區核心商圈,25.1463,121.7914
桃園市,八德區,第2里,142.4,108.3,31.3,桃園市八德區核心商圈,24.9954,121.2709
新竹市,東區,第2里,274.7,232.9,33.8,新竹市東區核心商圈,24.8165,121.0062
新竹縣,新豐鄉,第2里,199.9,158.7,28.2,新竹縣新豐鄉核心商圈,24.7649,120.992
苗栗縣,公館鄉,第2里,98.5,69.2,27.2,苗栗縣公館鄉核心商圈,24.5284,120.809
